day,insurance,visitId,lengthPagecount,discount,whoweare,catalog,hour,application,lengthSeconds,howtojoin,referrerType
Tuesday,FALSE,1832,3,FALSE,FALSE,FALSE,13,FALSE,120,FALSE,Fulltext
Tuesday,FALSE,1833,4,FALSE,FALSE,FALSE,13,FALSE,240,FALSE,OwnWebs
Tuesday,FALSE,1834,6,FALSE,FALSE,FALSE,13,FALSE,960,FALSE,Catalogue
Tuesday,FALSE,1839,2,FALSE,FALSE,FALSE,13,FALSE,120,FALSE,NA
Tuesday,FALSE,1846,3,FALSE,FALSE,FALSE,13,FALSE,540,FALSE,Fulltext
Tuesday,FALSE,1847,6,FALSE,FALSE,FALSE,13,FALSE,120,FALSE,NA
Tuesday,FALSE,1849,10,FALSE,FALSE,FALSE,13,FALSE,720,FALSE,NA
Tuesday,FALSE,1852,3,FALSE,FALSE,FALSE,13,FALSE,180,FALSE,Fulltext
Tuesday,FALSE,1857,2,FALSE,FALSE,FALSE,13,FALSE,240,FALSE,NA
Tuesday,FALSE,1859,3,FALSE,TRUE,FALSE,13,FALSE,1080,FALSE,OwnWebs
Tuesday,FALSE,1862,3,FALSE,FALSE,FALSE,13,FALSE,180,FALSE,NA
Tuesday,FALSE,1863,2,FALSE,FALSE,FALSE,13,FALSE,360,FALSE,Partners
Tuesday,FALSE,1866,4,FALSE,FALSE,FALSE,13,FALSE,120,FALSE,Partners
Tuesday,FALSE,1873,13,FALSE,FALSE,FALSE,14,FALSE,1320,FALSE,NA
Tuesday,FALSE,1887,6,FALSE,FALSE,FALSE,14,FALSE,180,FALSE,Catalogue
Tuesday,FALSE,1891,2,FALSE,FALSE,FALSE,14,FALSE,120,FALSE,NA
Tuesday,FALSE,1903,3,FALSE,FALSE,FALSE,14,FALSE,180,FALSE,NA
Tuesday,FALSE,1909,9,FALSE,FALSE,FALSE,15,FALSE,360,FALSE,Other
Tuesday,FALSE,1910,8,FALSE,TRUE,FALSE,15,FALSE,1680,FALSE,OwnWebs
Tuesday,FALSE,1921,4,FALSE,FALSE,FALSE,15,FALSE,180,FALSE,Fulltext
Tuesday,FALSE,1932,4,FALSE,FALSE,FALSE,15,FALSE,780,FALSE,NA
Tuesday,FALSE,1947,19,FALSE,FALSE,TRUE,16,FALSE,900,FALSE,Catalogue
Tuesday,FALSE,1950,3,FALSE,FALSE,FALSE,15,FALSE,120,FALSE,NA
Tuesday,FALSE,1952,5,FALSE,TRUE,TRUE,16,FALSE,120,FALSE,NA
Tuesday,FALSE,1954,4,FALSE,FALSE,FALSE,16,FALSE,120,FALSE,NA
Tuesday,FALSE,1955,3,FALSE,FALSE,FALSE,16,FALSE,300,FALSE,NA
Tuesday,FALSE,1958,3,FALSE,FALSE,FALSE,16,FALSE,180,FALSE,NA
Tuesday,FALSE,1962,5,FALSE,FALSE,FALSE,16,FALSE,300,FALSE,NA
Tuesday,FALSE,1967,5,FALSE,FALSE,FALSE,16,FALSE,120,FALSE,NA
Tuesday,FALSE,1969,6,FALSE,FALSE,FALSE,16,FALSE,720,FALSE,NA
Tuesday,FALSE,1970,3,FALSE,FALSE,FALSE,16,FALSE,120,FALSE,OwnWebs
Tuesday,FALSE,1971,2,FALSE,FALSE,FALSE,16,FALSE,120,FALSE,NA
